Soil_Type,Crop_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Level,Rainfall,Temperature,Recommended_Fertilizer
Chalky,Rice,6.0,43,37,45,33.8,137,30.4,10-26-26
Sandy,Barley,6.9,53,54,35,13.9,231,20.7,10-26-26
Silty,Rice,4.7,43,25,43,31.7,139,28.2,10-26-26
Peaty,Sugarcane,7.3,43,55,42,10.5,246,34.5,10-26-26
Chalky,Sugarcane,7.8,93,34,58,15.3,230,21.1,NPK
Loamy,Soybean,5.2,40,30,74,17.6,188,26.9,10-26-26
Loamy,Maize,6.2,59,33,78,17.3,166,28.4,10-26-26
Clay,Rice,5.1,88,26,52,17.3,168,24.2,10-26-26
Peaty,Maize,6.3,45,49,64,29.6,111,21.4,10-26-26
Silty,Rice,6.6,110,38,70,24.8,238,18.8,NPK
Loamy,Sugarcane,6.9,64,24,32,14.3,249,19.1,10-26-26
Sandy,Soybean,8.3,77,25,44,34.1,105,31.7,10-26-26
Silty,Maize,5.7,98,60,53,12.4,121,29.6,DAP
Loamy,Maize,6.3,66,37,74,13.1,245,26.4,Urea
Peaty,Barley,4.6,61,54,76,32.7,142,22.4,Compost
Sandy,Cotton,7.2,88,37,70,17.8,222,26.8,DAP
Chalky,Maize,6.7,47,34,32,14.6,160,34.5,10-26-26
Silty,Maize,7.6,48,33,66,33.5,160,33.2,10-26-26
Sandy,Barley,6.9,103,45,71,33.0,197,19.5,Urea
Sandy,Maize,5.3,57,35,77,11.1,223,23.5,10-26-26
Peaty,Maize,6.1,114,47,67,16.8,182,32.1,DAP
Loamy,Wheat,5.9,57,52,61,17.0,103,27.2,10-26-26
Clay,Soybean,5.1,54,29,70,30.1,120,19.3,10-26-26
Chalky,Cotton,8.4,116,24,54,29.3,177,21.4,10-26-26
Peaty,Cotton,4.5,107,36,65,30.4,82,30.0,Compost
Chalky,Barley,7.4,54,54,78,29.3,148,19.3,10-26-26
Chalky,Maize,5.9,54,38,57,12.9,120,32.7,10-26-26
Silty,Rice,7.0,73,52,78,18.3,125,19.1,Vermicompost
Clay,Soybean,5.7,120,39,70,18.1,209,30.4,Vermicompost
Sandy,Wheat,7.1,87,30,64,32.2,215,26.0,Urea
Clay,Sugarcane,5.0,81,51,31,27.8,108,30.9,10-26-26
Loamy,Soybean,6.7,79,35,33,29.3,141,26.4,10-26-26
Peaty,Rice,6.6,50,51,34,20.7,216,18.4,10-26-26
Sandy,Wheat,4.9,100,55,40,10.8,147,28.8,Compost
Peaty,Soybean,5.8,117,47,43,22.7,218,33.4,NPK
Chalky,Wheat,5.5,79,45,72,20.3,246,30.8,Urea
Loamy,Cotton,5.4,106,48,37,11.9,143,22.9,10-26-26
Sandy,Rice,5.1,83,21,67,33.2,221,31.7,10-26-26
Sandy,Sugarcane,7.0,68,20,34,31.8,241,31.7,10-26-26
Clay,Wheat,5.2,48,22,51,32.3,98,27.2,10-26-26
Peaty,Wheat,7.7,75,51,43,32.4,218,23.4,Urea
Sandy,Barley,4.9,113,56,60,15.7,142,25.3,Compost
Silty,Soybean,7.8,92,32,36,31.5,104,18.1,10-26-26
Chalky,Cotton,6.5,85,47,56,20.4,199,21.8,DAP
Chalky,Rice,5.0,52,23,55,18.4,166,34.0,10-26-26
Clay,Wheat,5.8,64,32,64,23.0,194,30.0,DAP
Silty,Wheat,6.0,75,49,45,34.3,99,34.4,Urea
Silty,Soybean,5.5,110,26,33,22.4,246,23.1,10-26-26
Peaty,Soybean,5.6,41,25,78,10.9,140,28.4,10-26-26
Sandy,Cotton,6.5,102,50,43,11.3,182,22.7,DAP
Clay,Wheat,8.1,88,20,54,16.0,147,20.5,10-26-26
Silty,Maize,6.5,94,55,72,34.6,204,22.1,DAP
Sandy,Wheat,7.2,77,33,33,29.0,228,22.0,10-26-26
Chalky,Sugarcane,7.4,47,40,33,19.2,92,28.7,10-26-26
Peaty,Cotton,7.0,104,53,40,23.4,94,19.5,DAP
Peaty,Rice,7.8,63,24,68,18.0,97,21.2,10-26-26
Chalky,Soybean,4.7,70,45,37,24.8,225,29.5,10-26-26
Sandy,Sugarcane,4.6,116,22,69,22.8,100,21.9,10-26-26
Silty,Barley,7.1,114,56,63,14.4,160,29.7,Urea
Loamy,Wheat,6.0,80,35,46,33.4,181,20.3,Urea
Sandy,Barley,5.9,78,49,50,12.8,98,33.7,Urea
